CCS (psi)
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
41000
